[info] welcome to sbt 1.10.7 (Ubuntu Java 11.0.29)
[info] loading project definition from /import/lab/users/sanchez/Desktop/ADSProject/08_pipelined_RISC-V_core_LOAD_STORE/RISC-V_Core/project
[info] loading settings for project risc-v_core from build.sbt...
[info] set current project to risc-v_core (in build file:/import/lab/users/sanchez/Desktop/ADSProject/08_pipelined_RISC-V_core_LOAD_STORE/RISC-V_Core/)

🟦 [CHISEL] Waiting for Python on port 8888...
🟩 [CHISEL] Connected! Starting Loop...
Cycle: 0 | x1: 0 | OpA: 0
Cycle: 1 | x1: 0 | OpA: 0
Cycle: 2 | x1: 0 | OpA: 0
Cycle: 3 | x1: 0 | OpA: 0
Cycle: 4 | x1: 0 | OpA: 0
Cycle: 5 | x1: 0 | OpA: 10
Cycle: 6 | x1: 0 | OpA: 15
Cycle: 7 | x1: 0 | OpA: 0
Cycle: 8 | x1: 0 | OpA: 0
Cycle: 9 | x1: 0 | OpA: 0
Cycle: 10 | x1: 0 | OpA: 15
Cycle: 11 | x1: 0 | OpA: 0
Cycle: 12 | x1: 0 | OpA: 0
Cycle: 13 | x1: 0 | OpA: 1
Cycle: 14 | x1: 0 | OpA: 0
Cycle: 15 | x1: 0 | OpA: 48
Cycle: 16 | x1: 0 | OpA: 0
Cycle: 17 | x1: 0 | OpA: 0
Cycle: 18 | x1: 0 | OpA: 0
Cycle: 19 | x1: 0 | OpA: 0
Cycle: 20 | x1: 0 | OpA: 0
Cycle: 21 | x1: 0 | OpA: 0
